Koji događaj označava početak Prvog svetskog rata u Srbiji?;Austrougarski ultimatum Srbiji 23. jula 1914. godine.
Koja je bila glavna posledica Sarajevskog atentata?;Početak Prvog svetskog rata.
U kojoj bici je srpska vojska odnela pobedu protiv Austrougarske 1914. godine?;Bitka na Ceru.
Ko je bio vođa Topličkog ustanka?;Kosta Vojinović.
Kojom bitkom je završeno povlačenje srpske vojske preko Albanije?;Bitka na Kajmakčalanu.
Kada je formirana Kraljevina Srba, Hrvata i Slovenaca?;1. decembra 1918. godine.
Ko je bio prvi kralj Kraljevine SHS?;Petar I Karađorđević.
Koji ustav je usvojen 1921. godine u Kraljevini SHS?;Vidovdanski ustav.
Ko je izvršio atentat na kralja Aleksandra I Karađorđevića?;Vlado Černozemski.
Ko je bio namesnik maloletnog kralja Petra II Karađorđevića?;Knez Pavle Karađorđević.
Kada je izvršen državni udar 27. marta 1941. godine?;Protiv pristupanja Kraljevine Jugoslavije Trojnom paktu.
Kada je počela Aprilska invazija na Jugoslaviju?;6. aprila 1941. godine.
Ko je bio vođa partizanskog pokreta u Jugoslaviji?;Josip Broz Tito.
Ko je bio vođa četničkog pokreta u Srbiji?;Draža Mihailović.
Šta je bio Ravnogorski pokret?;Jugoslovenska vojska u otadžbini, pod komandom Draže Mihailovića.
Kada je osnovana Demokratska Federativna Jugoslavija?;29. novembra 1943. godine na drugom zasedanju AVNOJ-a u Jajcu.
Kada je osnovana Federativna Narodna Republika Jugoslavija?;29. novembra 1945. godine.
Koji je bio politički sistem u FNRJ/SFRJ?;Socijalistički samoupravni sistem.
Ko je bio predsednik SFRJ do svoje smrti 1980. godine?;Josip Broz Tito.
Šta je bio Rezolucija Informbiroa?;Rezolucija kojom je Kominterna osudila Jugoslaviju zbog nezavisne politike.
Kada je usvojen Ustav SFRJ iz 1974. godine?;21. februara 1974. godine.
Ko je bio Slobodan Milošević?;Predsednik Srbije od 1989. do 1997. i predsednik SRJ od 1997. do 2000. godine.
Šta je bio Antibirokratska revolucija?;Serija demonstracija u Srbiji krajem 80-ih godina kojima je Slobodan Milošević došao na vlast.
Kada je ukinuta autonomija Kosova i Vojvodine?;1989. godine.
Kada je počeo raspad SFRJ?;Početkom 1990-ih godina, sa proglašenjem nezavisnosti Slovenije i Hrvatske.
Koji rat se vodio na teritoriji Hrvatske od 1991. do 1995. godine?;Domovinski rat.
Koji rat se vodio na teritoriji Bosne i Hercegovine od 1992. do 1995. godine?;Rat u Bosni i Hercegovini.
Šta je bio Dejtonski sporazum?;Mirovni sporazum kojim je okončan rat u Bosni i Hercegovini.
Kada je izbio rat na Kosovu?;1998. godine.
Šta je bila NATO bombardovanje SRJ?;Bombardovanje SRJ od strane NATO snaga 1999. godine zbog situacije na Kosovu.
Kada je Slobodan Milošević smenjen sa vlasti?;5. oktobra 2000. godine.
Kada je proglašena nezavisnost Crne Gore?;2006. godine.
Kada je Kosovo proglasilo nezavisnost?;17. februara 2008. godine.
Koja je bila uloga Crne Ruke u srpskoj istoriji 20. veka?;Tajna nacionalistička organizacija koja je imala uticaj na političke događaje, uključujući Sarajevski atentat.
Šta je bio Solunski front?;Front na kome se srpska vojska borila nakon povlačenja preko Albanije.
Koji su bili glavni uzroci Prvog svetskog rata u vezi sa Srbijom?;Austrougarski ekspanzionizam, srpsko nacionalno oslobođenje i Sarajevski atentat.
Šta je bila Jugoslovenska ideja?;Ideja o ujedinjenju južnoslovenskih naroda u jednu državu.
Šta je bila Šestojanuarska diktatura?;Diktatura kralja Aleksandra I Karađorđevića uspostavljena 1929. godine.
Šta je bio Sporazum Cvetković-Maček?;Sporazum kojim je stvorena Banovina Hrvatska 1939. godine.
Ko je bio Milan Nedić?;Predsednik Vlade Nacionalnog spasa tokom Drugog svetskog rata u Srbiji, kolaboracionistička vlada pod nemačkom okupacijom.
Šta je bio AVNOJ?;Antifašističko veće narodnog oslobođenja Jugoslavije.
Koji su bili uzroci raspada SFRJ?;Ekonomska kriza, nacionalizam, slabljenje komunističke ideologije i međunacionalne tenzije.
Šta je bila Operacija Oluja?;Vojna operacija hrvatske vojske kojom je oslobođena Kninska Krajina 1995. godine.
Ko je bio Vojislav Koštunica?;Prvi demokratski izabrani predsednik SRJ nakon pada Slobodana Miloševića.
Šta je bio Ustavna povelja državne zajednice Srbija i Crna Gora?;Dokument kojim je formirana Državna zajednica Srbija i Crna Gora 2003. godine.
Ko je bio Dimitrije Tucović?;Istaknuti srpski socijaldemokrata i protivnik Prvog svetskog rata.
